SIZE;;AFO-008(2);;;ERM-334(2);;;ERM-335;;;AFO-010;;;AFO-011;;;AFO-012;;;ERM-339;;;ERM-340;;;AFO-015(1);;;AFO-015(2);;;ERM-343;;;ERM-263;;;AFO-018(1);;;AFO-018(2);;;AFO-019;;;ERM-346;;;AFO-021;;;AFO-022;
PDI;0.439;0.513;0.529;0.575;0.573;0.553;0.084;0.075;0.07;0.192;0.181;0.189;0.194;0.195;0.178;0.183;0.197;0.187;0.104;0.104;0.12;0.227;0.207;0.161;0.146;0.162;0.153;0.13;0.15;0.163;0.227;0.227;0.229;0.227;0.278;0.331;0.119;0.122;0.106;0.13;0.119;0.128;0.476;0.486;0.483;0.329;0.339;0.323;0.33;0.339;0.33;0.126;0.119;0.117
X Intensity;R1.008(2);R2.008(2);R3.008(2);R1.334(2);R2.334(2);R3.334(2);R1.335;R2.335;R3.335;R1.010;R2.010;R3.010;R1.011;R2.011;R3.011;R1.012;R2.012;R3.012;R1.339;R2.339;R3.339;R1.340;R2.340;R3.340;R1.015(1);R2.015(1);R3.015(1);R1.015(2);R2.015(2);R3.015(2);R1.343;R2.343;R3.343;R1.263;R2.263;R3.263;R1.018(1);R2.018(1);R3.018(1);R1.018(2);R2.018(2);R3.018(2);R1.019;R2.019;R3.019;R1.346;R2.346;R3.346;R1.021;R2.021;R3.021;R1.022;R2.022;R3.022
164;0;0;0;0;0;0;0;0;0;2.57;2.27;3;4.87;4.07;3.2;9.93;9.45;9.82;11.1;12.1;11.7;6.73;5.11;4.25;15.9;14.4;16.1;16.4;15.3;14.6;0;0;0;11.8;8.93;7.02;5.08;4.9;3.48;4.03;4.13;4.86;3.5;3.31;3.8;1.61;1.72;1.58;1.81;2.18;2.04;12.7;12.2;12.6
190;0;0.427;0;0;0;0;0;0;0;6.21;6.13;6.52;8.01;6.59;5.77;8.19;7.87;7.39;6.31;6.73;7.64;5.32;3.41;2.3;15.9;14;15.7;13.5;14;13.9;0;0;0;12.1;9.5;7.52;2.37;2.25;0.937;1.69;1.54;2.37;3.12;2.88;3.19;1.89;1.91;1.74;1.9;2.09;2.04;8.47;8.29;7.94
220;0.292;1.51;0.657;0;0;0;0;0;0;10.4;10.6;10.3;10.8;8.99;8.54;6.16;6.04;4.91;2.37;2.26;3.78;3.91;1.94;0.902;14;12.2;13.4;9.26;11.2;11.9;0.00548;0;0;11.3;9.56;7.82;0.636;0.59;0;0.377;0.194;0.708;2.66;2.4;2.51;2.06;2;1.82;1.88;1.89;1.91;4.29;4.38;3.62
255;1.41;3.16;2.22;0;0;0;0;0;0;14;14.4;13.5;12.7;10.9;11;4.12;4.17;2.75;0.25;0.00989;1.09;2.62;0.857;0.171;10.5;9.53;9.79;4.86;7.7;8.97;0.026;0;0;9.7;9.04;7.85;0;0;0;0;0;0;2.15;1.91;1.84;2.09;1.98;1.81;1.76;1.61;1.69;1.27;1.44;0.849
295;3.38;5.11;4.47;0;0;0;0;0;0;16;16.5;15.2;13.5;12;12.7;2.33;2.5;1.18;0;0;0;1.56;0.224;0;6.56;6.53;5.8;1.53;4.18;5.68;0.0639;0;0;7.44;8.01;7.57;0;0;0;0;0;0;1.64;1.45;1.22;2;1.86;1.71;1.56;1.27;1.41;0;0.0434;0
342;5.9;7.04;6.96;0.079;0.152;0;0;0;0;15.9;16.3;15.1;13;12.1;13.4;1.01;1.2;0.289;0;0;0;0.771;0;0;3.02;3.75;2.46;0;1.49;2.77;0.117;0;0;4.96;6.59;7;0;0;0;0;0;0;1.16;1.02;0.709;1.8;1.66;1.55;1.3;0.932;1.09;0;0;0
396;8.52;8.68;9.17;0.887;1.02;0;0;0;0;13.9;14;13.4;11.4;11.4;12.8;0.251;0.377;0;0;0;0;0.278;0;0;0.754;1.62;0.493;0;0.138;0.806;0.181;0.00046;0;2.69;4.95;6.16;0;0;0;0;0;0;0.744;0.668;0.335;1.51;1.4;1.34;1.01;0.617;0.785;0;0;0
459;10.7;9.81;10.7;2.52;2.66;0.187;0;0;0;10.4;10.3;10.4;9.15;10;11.2;0;0.0238;0;0;0;0;0.048;0;0;0;0.395;0;0;0;0;0.249;0.00944;0;1.03;3.31;5.12;0;0;0;0;0;0;0.417;0.39;0.107;1.18;1.12;1.11;0.732;0.356;0.508;0;0;0
531;12.2;10.3;11.4;4.71;4.81;2.07;0;0;0;6.46;6.13;6.91;6.61;8.1;8.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.315;0.0303;0;0.167;1.88;3.97;0;0;0;0;0;0;0.187;0.193;0.0106;0.84;0.838;0.87;0.477;0.166;0.285;0;0;0
615;12.6;10.2;11.1;7.04;7.05;5.57;0;0;0;2.96;2.63;3.65;4.18;5.98;6.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.375;0.063;0;0;0.819;2.82;0;0;0;0;0;0;0.0543;0.0722;0;0.531;0.578;0.643;0.27;0.0513;0.127;0;0;0
712;12.1;9.59;9.99;9.08;8.99;9.73;0;0;0;0.737;0.553;1.27;2.2;3.94;3.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.424;0.106;0;0;0.207;1.79;0;0;0;0;0;0;0.00231;0.0148;0;0.283;0.358;0.442;0.122;0.00404;0.0358;0;0;0
825;10.6;8.52;8.27;10.5;10.3;13.3;0;0;0;0;0;0.121;0.847;2.22;1.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.459;0.155;0;0;0;0.95;0;0;0;0;0;0;0;0;0;0.113;0.19;0.276;0.0355;0;0.000818;0;0;0
955;8.6;7.17;6.24;11.1;10.9;15.4;0;0;0;0;0;0;0.166;0.969;0.297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.477;0.208;0.00546;0;0;0.377;0;0;0;0;0;0;0;0;0;0.0244;0.0787;0.15;0.00132;0;0;0;0;0
1.11E+03;6.28;5.69;4.21;10.9;10.7;15.4;0;0;0;0;0;0;0;0.253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48;0.26;0.0288;0;0;0.0791;0;0;0;0;0;0;0;0;0;0;0.0194;0.0654;0;0;0;0;0;0
1.28E+03;4.05;4.23;2.44;9.95;9.83;13.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.467;0.309;0.0752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018;0;0;0;0;0;0
1.48E+03;2.19;2.9;1.12;8.47;8.44;9.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.439;0.351;0.144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.72E+03;0.89;1.8;0.318;6.7;6.76;5.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0.384;0.231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.99E+03;0.2;0.968;0;4.88;5.01;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.352;0.407;0.329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.30E+03;0;0.426;0;3.21;3.38;0.566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.299;0.418;0.429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.67E+03;0;0.155;0.0614;1.86;2.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.243;0.418;0.521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.09E+03;0;0.111;0.269;0.895;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.188;0.405;0.596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.58E+03;0;0.232;0.621;0.34;0.386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.138;0.381;0.646;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.15E+03;0;0.442;1.06;0.139;0.0834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0933;0.347;0.663;0.137;0.281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.80E+03;0;0.661;1.47;0.192;0.034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0571;0.304;0.643;0.672;0.637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.56E+03;0;0.819;1.75;0.37;0.133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0.252;0.584;1.49;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.44E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7.46E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.63E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
