SIZE;;ERM-262;;;ERM-263;;;ERM-263(r) ;;;ERM-264(1);;;ERM-264(1r);;;ERM-264(2);;;ERM-264(2r);;;ERM-265;;;ERM-266;;;ERM-267;;;ERM-267(r) ;;;ERM-268(1);;;ERM-268(2);;;ERM-269;;;ERM-270(1);;;ERM-270(1r);;;ERM-270(2);;;ERM-270(2r);;;ERM-271;;;ERM-272;;;ERM-273;;;ERM-274;;;ERM-275;;;ERM-276;
PDI;0.586;0.579;0.564;0.353;0.378;0.349;0.227;0.278;0.331;1;1;1;0.621;0.616;0.616;1;1;1;0.437;0.438;0.436;0.131;0.134;0.143;0.224;0.218;0.22;0.635;0.624;0.623;0.719;0.695;0.569;0.11;0.105;0.091;0.077;0.09;0.077;0.16;0.18;0.146;1;1;0.973;0.21;0.209;0.186;0.251;0.246;0.249;0.189;0.207;0.205;0.201;0.214;0.199;0.117;0.144;0.122;0.193;0.208;0.2;0.074;0.077;0.076;0.093;0.111;0.117;0.214;0.179;0.194
X Intensity;R1.262;R2.262;R3.262;R1.263;R2.263;R3.263;R1.263(r) ;R2.263(r) ;R3.263(r);R1.264(1);R2.264(1);R3.264(1);R1.264(1r);R2.264(1r);R3.264(1r);R1.264(2);R2.264(2);R3.264(2);R1.264(2r);R2.264(2r);R3.264(2r);R1.265;R2.265;R3.265;R1.266;R2.266;R3.266;R1.267;R2.267;R3.267;R1.267(r) ;R2.267(r) ;R3.267(r) ;R1.268(1);R2.268(1);R3.268(1);R1.268(2);R2.268(2);R3.268(2);R1.269;R2.269;R3.269;R1.270(1);R2.270(1);R3.270(1);R1.270(1r);R2.270(1r);R3.270(1r);R1.270(2);R2.270(2);R3.270(2);R1.270(2r);R2.270(2r);R3.270(2r);R1.271;R2.271;R3.271;R1.272;R2.272;R3.272;R1.273;R2.273;R3.273;R1.274;R2.274;R3.274;R1.275;R2.275;R3.275;R1.276;R2.276;R3.276
255;5.62;5.16;5.54;8.55;8.63;8.35;9.7;9.04;7.85;0;0.596;0.643;3.19;3.2;3.47;0;0;0;2.09;1.9;2.58;0;0;0;0;0;0;0;0.133;0.0168;0;0.577;0;0;0;0;0;0;0;12.5;11.3;13.8;0;1.9;0;11;10.5;13.2;10.1;10.2;10.5;12.7;13.6;12.1;10;9.51;10.1;3.2;4.17;3.27;12.8;10.6;12;0;0;0;0;0;0.0081;7.5;8.9;9.87
295;4.19;3.75;4.55;7.38;8.09;7.62;7.44;8.01;7.57;0;0.962;0.761;2.87;2.96;3.29;0;0.0351;0;1.61;1.52;2.37;0;0;0;0;0;0;0;1.11;0.932;0.0854;0.971;0.124;0;0;0;0;0;0;14;12.7;15.8;0;3.31;0;10.1;9.56;11.4;9.92;10.1;10.5;10.9;11.9;10.7;11.9;11.2;11.9;0.781;1.51;0.827;11;9.57;10.9;0;0;0;0;0;0;10.1;11.5;12.8
342;2.78;2.43;3.51;5.98;7.19;6.66;4.96;6.59;7;0.182;1.42;0.984;2.52;2.66;3.03;0;0.395;0.0375;1.14;1.13;2.07;0;0;0;0;0;0;0.282;3;2.88;1.09;1.78;1.15;0;0;0;0;0;0;14.2;13;15.8;0;5.67;1.03;8.57;8.18;8.86;9.26;9.45;9.91;8.32;9.31;8.6;12.9;12.2;12.8;0;0.168;0;8.52;8.1;9.02;0;0;0;0;0;0;12.1;13.2;14.4
396;1.57;1.34;2.5;4.51;6;5.57;2.69;4.95;6.16;1.15;1.99;1.42;2.14;2.34;2.69;0;1.2;0.631;0.717;0.782;1.71;0;0;0;0;0;0;2.17;5.47;5.53;3.02;3.08;3.12;0;0;0;0;0;0;12.9;12.2;13.9;0.157;8.36;6.07;6.72;6.55;5.98;8.23;8.4;8.79;5.57;6.29;6.24;12.7;12.2;12.6;0;0;0;5.79;6.39;6.72;0;0;0;0;0;0;13.2;13.7;14.5
459;0.685;0.565;1.61;3.11;4.64;4.43;1.03;3.31;5.12;2.87;2.67;2.14;1.78;2.01;2.3;0.914;2.4;1.93;0.388;0.489;1.32;0;0;0;0;0;0;5.61;8.02;8.31;5.45;4.81;5.7;0;0;0;0;0;0;10.5;10.5;10.6;3.44;10.5;13.2;4.75;4.85;3.3;6.96;7.03;7.26;3.08;3.45;3.94;11.6;11.4;11.5;0;0;0;3.28;4.65;4.34;0;0;0;0;0;0;13;13;13.1
531;0.173;0.139;0.895;1.9;3.27;3.32;0.167;1.88;3.97;5;3.47;3.14;1.43;1.69;1.88;2.99;3.86;3.8;0.163;0.265;0.944;0;0;0;0;0;0;9.71;10.2;10.7;7.87;6.78;8.36;0;0;0;0;0;0;7.53;8.23;6.63;8.96;11.4;18.2;2.9;3.24;1.31;5.57;5.5;5.49;1.24;1.32;2.03;9.63;9.66;9.54;0;0;0;1.39;3.04;2.28;0;0;0;0;0;0;11.7;11.1;10.6
615;0;0;0.392;0.979;2.02;2.32;0;0.819;2.82;7.06;4.33;4.34;1.11;1.38;1.46;5.75;5.35;5.9;0.0411;0.114;0.612;0;0;0;4.89E-05;0;0;13.3;11.5;12.1;9.81;8.69;10.6;0;0;0;0;0;0;4.52;5.71;3.12;13.9;10.6;17.7;1.42;1.89;0.239;4.17;3.96;3.7;0.247;0.208;0.726;7.26;7.45;7.15;0;0;0;0.321;1.72;0.825;0;0;0;0;0;0;9.32;8.44;7.45
712;0;0;0.105;0.378;1.03;1.48;0;0.207;1.79;8.64;5.19;5.6;0.835;1.1;1.07;8.47;6.68;7.83;0;0.0307;0.345;0;0;0;0.00779;0.00554;0;15.4;11.9;12.5;11;10.2;12;0;0;0;0;0;0;2.07;3.38;0.828;15.5;8.07;11.7;0.445;0.879;0;2.88;2.55;2.12;0;0;0.102;4.82;5.08;4.69;0;0;0;0;0.766;0.11;0;0;0;0;0;0;6.48;5.54;4.39
825;0;0;0;0.0782;0.366;0.835;0;0;0.95;9.46;5.96;6.72;0.603;0.848;0.717;10.5;7.64;9.21;0;0;0.157;0;0;0;0.0272;0.0216;0.00885;15.3;11.4;11.7;11.3;11.1;12.3;0;0;0;0;0;0;0.542;1.55;0;12.8;4.66;3.94;0.0219;0.264;0;1.79;1.41;0.932;0;0;0;2.69;2.91;2.54;0;0;0;0;0.21;0;0;0;0;0;0;0;3.69;2.93;1.97
955;0;0;0;0;0.0523;0.386;0;0;0.377;9.41;6.52;7.52;0.417;0.632;0.43;11.3;8.14;9.81;0;0;0.0466;0;0;0;0.0593;0.05;0.0325;13.2;9.96;9.98;10.7;11.1;11.5;0;0;0;0;0;0;0;0.427;0;7.2;1.58;0;0;0.0116;0;0.953;0.607;0.236;0;0;0;1.13;1.26;0.995;0;0;0;0;0;0;0;0;0;0;0;0;1.51;1.06;0.506
